order_id,order_date,customer,region,category,product,quantity,unit_price,discount
1001,04-01-2025,Aarav Retail,South,Electronics,Wireless Mouse,12,18.5,0.05
1002,07-01-2025,Northstar Stores,North,Furniture,Office Chair,5,145,0.1
1003,10-01-2025,Metro Mart,West,Office Supplies,Notebook Pack,40,4.75,0
1004,15-01-2025,Urban Basket,East,Electronics,USB-C Hub,9,38,0.05
1005,02-02-2025,Aarav Retail,South,Furniture,Standing Desk,3,320,0.12
1006,09-02-2025,Metro Mart,West,Electronics,Keyboard,15,24.5,0.03
1007,13-02-2025,Sunrise Traders,North,Office Supplies,Printer Paper,55,6.25,0.02
1008,22-02-2025,Urban Basket,East,Furniture,Bookshelf,6,92,0.08
1009,03-03-2025,Northstar Stores,North,Electronics,Monitor,8,185,0.07
1010,11-03-2025,Aarav Retail,South,Office Supplies,Desk Organizer,25,9.8,0
1011,19-03-2025,Metro Mart,West,Furniture,Filing Cabinet,4,128,0.06
1012,27-03-2025,Sunrise Traders,North,Electronics,Webcam,18,42,0.04
1013,05-04-2025,Urban Basket,East,Office Supplies,Pen Set,70,3.2,0.01
1014,14-04-2025,Aarav Retail,South,Electronics,Laptop Stand,14,31,0.05
1015,23-04-2025,Northstar Stores,North,Furniture,Conference Table,2,540,0.15
1016,01-05-2025,Metro Mart,West,Office Supplies,Sticky Notes,90,2.4,0
1017,09-05-2025,Sunrise Traders,North,Furniture,Desk Lamp,22,19,0.03
1018,18-05-2025,Urban Basket,East,Electronics,Portable SSD,10,89,0.06
1019,04-06-2025,Aarav Retail,South,Office Supplies,Marker Set,35,7.5,0.02
1020,15-06-2025,Metro Mart,West,Electronics,Noise Cancelling Headphones,7,129,0.09
